index,word,,,,boundary,corrected,filler,comments,,,glossary,
1138,another,another,479.83,480.21,0,,,,,,,
1139,scene,scene,480.21,480.55,0,,,,,,,
1140,where,where,480.55,480.98,0,,,,,,,
1141,we,we,480.99,481.37,0,,,,,,,
1142,see,see,481.429999,481.839999,0,,,,,,,
1143,uh,uh,482.32,482.88,0,,1,,,,,
1144,sherlock,sherlock,483.299999,483.789999,1,,,,,,,
1145,the,,,,0,,,,,,,
1146,scene,scene,484.01,484.27,0,,,,,,,
1147,opens,opens,484.27,484.69,0,,,,,,,
1148,with,with,484.690001,484.930001,0,,,,,,,
1149,the,the,485.440001,485.570001,0,,,,,,,
1150,camera,camera,485.57,486.31,0,,,,,,,
1151,as,as,486.4,486.74,0,,,,,,,
1152,if,if,486.74,486.95,0,,,,,,,
1153,the,the,487.17,487.32,0,,,,,,,
1154,camera,camera,487.33,487.61,0,,,,,,,
1155,was,was,487.61,487.83,0,,,,,,,
1156,a,a,487.83,487.89,0,,,,,,,
1157,cadaver,cadaver,487.89,488.36,1,,,,,,,
1158,so,so,488.36,488.6,0,,2,,,,,
1159,the,the,488.6,488.71,0,,,,,,,
1160,camera,camera's,488.71,489.01,0,,,,,,,
1160a,is,,,,0,,,,,,,
1161,like,like,489.02,489.2,0,,1,,,,,
1162,looking,looking,489.43,489.73,0,,,,,,,
1163,up,up,489.78,490.02,1,,,,,,,
1164,and,and,490.04,490.24,0,,,,,,,
1165,watson,watson,490.24,490.44,0,,,,,,,
1166,unzips,<unk>,490.44,490.6,0,,,,,,,
1167,this,this,490.86,491.05,2,,,changed her mind a bit,,,,
1168,um,um,491.98,492.41,0,,1,,,,,
1169,the,the,493,493.37,0,,,,,,,
1170,the,the,493.41,493.72,0,,,repitition,,,,
1171,bag,bag,493.76,494.27,0,,,,,,,
1172,and,and,494.51,494.75,0,,,,,,,
1173,then,then,494.75,494.95,0,,,,,,,
1174,is,is,495,495.16,0,,,,,,,
1175,looking,looking,495.16,495.49,0,,,,,,,
1176,down,,,,0,,,,,,,
1177,at,,,,0,,,,,,,
1178,the,the,495.639999,495.699999,0,,,,,,,
1179,camera,camera,495.7,495.99,1,,,,,,,
1180,and,and,495.99,496.05,0,,,,,,,
1181,that's,that's,496.059999,496.219999,0,,,,,,,
1182,when,when,496.219999,496.319999,0,,,,,,,
1183,you,you,496.32,496.45,0,,,,,,,
1184,first,,,,0,,,,,,,
1185,see,,,,0,,,,,,,
1186,it,,,,1,,,,,,,
1187,you,,,,0,,,,,,,
1188,have,have,497,497.26,2,,,,,,,
1189,or,or,497.28,497.53,0,,,,,,,
1190,sorry,sorry,497.67,497.86,1,,,she corrects herself,,,,
1191,sherlock,sherlock,497.9,498.34,0,,,,,,,
1192,unzips,<unk>,498.66,498.95,0,,,,,,,
1193,it,it,499.07,499.25,0,,,,,,,
1194,looks,looks,499.48,499.69,0,,,,,,,
1195,down,down,499.69,499.92,1,,,,,,,
1196,that's,,,,0,,,,,,,
1197,when,,,,0,,,,,,,
1198,we,,,,0,,,,,,,
1199,first,first,500.429999,500.569999,0,,,,,,,
1200,see,see,500.57,500.75,0,,,,,,,
1201,him,him,500.75,500.96,1,,,,,,,
1202,and,and,501.53,501.82,0,,,,,,,
1203,he,he,501.82,502.04,0,,,,,,,
1204,has,,,,0,,,,,,,
1205,this,,,,0,,,,,,,
1206,other,other,502.639999,502.859999,2,,,she repeats herself,,,,
1207,there's,,,,0,,,,,,,
1208,this,this,503.08,503.15,0,,,,,,,
1209,other,other,503.15,503.53,0,,,,,,,
1210,lady,lady,503.57,503.89,0,,,,,,,
1211,with,with,503.889999,504.039999,0,,,,,,,
1212,him,him,504.039999,504.129999,1,,,,,,,
1213,I'm,i'm,504.129999,504.169999,0,,,"no ""i'm""",,,,
1214,assuming,assuming,504.17,504.76,2,,,,,,,
1215,or,or,505.31,505.55,0,,,,,,,
1216,I'm,,,,0,,,,,,,
1217,assuming,,,,0,,,,,,,
1218,she's,,,,0,,,,,,,
1219,the,the,506.27,506.44,0,,,,,,,
1220,assistant,assistant,506.52,507,1,,,,,,,
1221,and,and,507.92,508.38,0,,,,,,,
1222,so,so,508.83,509.38,0,,2,,,,,
1223,um,um,509.69,510.19,0,,1,,,,,
1224,we,we,510.37,510.39,0,,,,,,,
1225,see,see,510.39,510.47,0,,,,,,,
1226,him,him,510.47,510.65,0,,,,,,,
1227,take,take,510.65,510.93,0,,,,,,,
1228,like,like,510.93,511.15,2,,1,,,,,
1229,I'm,i'm,511.72,511.74,0,,,,,,,
1230,not,not,511.96,512.15,0,,,,,,,
1231,sure,sure,512.15,512.28,0,,,,,,,
1232,what,what,512.28,512.36,0,,,,,,,
1233,it's,it's,512.36,512.46,0,,,,,,,
1234,called,called,512.46,512.77,3,,,,,,,
1235,like,like,512.77,512.93,0,,1,,,,,
1236,one,one,512.929999,513.029999,0,,,,,,,
1237,of,of,513.03,513.11,0,,,,,,,
1238,those,those,513.11,513.29,0,,,,,,,
1239,paddle,paddle,513.389999,513.859999,0,,,,,,,
1240,things,things,513.889999,514.259999,0,,,,,,,
1241,and,,,,0,,,,,,,
1242,like,like,514.3,514.54,0,,1,,,,,
1243,whacks,whacks,515.08,515.42,0,,,,,,,
1244,this,this,515.42,515.45,0,,,,,,,
1245,body,body,515.96,516.47,0,,,,,,,
1246,pretty,pretty,517.059999,517.289999,0,,,,,,,
1247,furiously,furiously,517.33,518,0,,,,,,,
1248,for,for,518.389999,518.659999,0,,,,,,,
1249,quite,quite,518.77,519.04,0,,,,,,,
1250,a,a,519.04,519.07,0,,,,,,,
1251,while,while,519.07,519.55,1,,,,,,,
1252,um,um,519.559999,519.579999,0,,1,,,,,
1253,he,he,521.690001,521.910001,0,,,,,,,
1254,says,says,521.92,522.07,0,,,,,,,
1255,something,something,522.07,522.33,0,,,,,,,
1256,about,about,522.33,522.52,0,,,,,,,
1257,like,like,522.52,522.65,0,,1,,,,,
1258,checking,checking,522.65,522.99,0,,,,,,,
1259,how,how,523.01,523.15,0,,,,,,,
1260,the,the,523.16,523.26,0,,,,,,,
1261,bruises,bruises,523.26,523.67,0,,,,,,,
1262,form,form,523.68,524.12,0,,,,,,,
1263,to,to,524.53,524.68,0,,,,,,,
1264,his,his,524.68,524.89,0,,,,,,,
1265,assistant,assistant,524.89,525.45,1,,,,,,,
1266,and,and,525.48,525.66,0,,,,,,,
1267,then,then,525.66,525.97,0,,,,,,,
1268,she,she,526.24,526.93,0,,,,,,,
1269,um,um,526.93,527.15,0,,1,,,,,
1270,starts,starts,528.08,528.21,0,,,,,,,
1271,to,to,528.38,528.45,0,,,,,,,
1272,ask,ask,528.45,528.6,0,,,,,,,
1273,him,him,528.6,528.71,0,,,,,,,
1274,for,for,528.71,528.81,0,,,,,,,
1275,coffee,coffee,528.81,529.39,1,,,,,,,
1276,he,he,529.72,529.89,0,,,,,,,
1277,interrupts,interrupts,529.89,530.36,0,,,,,,,
1278,her,her,530.36,530.6,0,,,,,,,
1279,saying,saying,530.61,530.96,0,,,,,,,
1280,that,that,530.97,531.1,0,,,,,,,
1281,she,she,531.099999,531.199999,0,,,,,,,
1282,had,had,531.2,531.32,0,,,,,,,
1283,put,put,531.32,531.47,0,,,,,,,
1284,on,on,531.469999,531.529999,0,,,,,,,
1285,lipstick,lipstick,531.559999,532.009999,1,,,,,,,
1286,she,she,532.01,532.35,0,,,,,,,
1287,looks,looks,532.37,532.61,0,,,,,,,
1288,embarrassed,embarrassed,532.61,533.35,0,,,,,,,
1289,um,um,533.77,534.17,0,,1,,,,,
1290,but,but,534.179999,534.319999,0,,,,,,,
1291,then,then,534.32,534.66,0,,,,,,,
1292,ends,ends,534.91,535.1,0,,,,,,,
1293,up,up,535.099999,535.239999,0,,,,,,,
1294,finishing,finishing,535.24,535.62,0,,,,,,,
1295,asking,asking,535.66,536.11,0,,,,,,,
1296,if,if,536.11,536.21,0,,,,,,,
1297,he,he,536.219999,536.289999,0,,,,,,,
1298,wants,wants,536.29,536.54,0,,,,,,,
1299,coffee,coffee,536.58,537.19,1,,,,,,,
1300,and,and,537.44,537.65,0,,,,,,,
1301,then,,,,0,,,,,,,
1302,he,he,537.65,537.76,0,,,,,,,
1303,says,says,537.759999,537.999999,0,,,,,,,
1304,yes,yes,538.039999,538.399999,1,,,,,,,
1305,he,he,538.440001,538.560001,0,,,,,,,
1306,goes,goes,538.559999,538.749999,0,,,,,,,
1307,up,up,538.77,538.97,0,,,,,,,
1308,to,to,539.039999,539.249999,0,,,,,,,
1309,his,his,539.25,539.58,0,,,,,,,
1310,lab,lab,539.629999,540.309999,0,,,,,,,
1311,where,where,540.77,541.33,0,,,,,,,
1312,he's,he's,541.49,541.69,0,,,,,,,
1313,working,working,542.09,542.51,0,,,,,,,
1314,on,on,542.51,542.67,0,,,,,,,
1315,something,something,542.67,543,1,,,,,,,
1316,it,it,543.07,543.09,0,,,,,,,
1317,looks,looks,543.53,543.57,0,,,,,,,
1318,like,like,544.13,544.27,0,,,,,,,
1319,he's,,,,0,,,,,,,
1320,using,,,,0,,,,,,,
1321,like,,,,0,,1,,,,,
1322,a,a,544.44,544.49,0,,,,,,,
1323,pipette,<unk>,544.49,545,0,,,,,,,
1324,or,or,545,545.33,0,,,,,,,
1325,something,something,545.63,546.1,0,,,,,,,
1326,to,to,546.1,546.53,0,,,,,,,
1327,uh,uh,546.58,546.74,0,,1,,,,,
1328,work,work,546.74,546.89,0,,,,,,,
1329,with,with,546.89,547.02,0,,,,,,,
1330,fluids,fluids,547.04,547.34,1,,,,,,,
1331,she,she,547.96,548.26,0,,,,,,,
1332,um,um,548.26,548.72,0,,1,,,,,
1333,delivers,delivers,549.87,550.38,0,,,,,,,
1334,to,to,550.91,550.98,0,,,,,,,
1335,him,him,551.179999,551.689999,0,,,,,,,
1336,his,,,,0,,,,,,,
1337,coffee,coffee,552.4,553.08,1,,,,,,,
1338,and,and,553.09,553.48,0,,,,,,,
1339,he,he,553.509999,553.759999,0,,,,,,,
1340,makes,makes,553.759999,553.999999,0,,,,,,,
1341,a,a,554,554.06,0,,,,,,,
1342,remark,remark,554.059999,554.409999,0,,,,,,,
1343,that,that,554.41,554.59,0,,,,,,,
1344,she,she,554.589999,554.969999,0,,,,,,,
1345,now,now,555.299999,555.599999,0,,,,,,,
1346,has,has,555.599999,555.759999,0,,,,,,,
1347,removed,removed,555.859999,556.059999,0,,,,,,,
1348,her,her,556.769999,556.889999,0,,,,,,,
1349,lipstick,lipstick,557.069999,557.449999,1,,,,,,,
1350,and,,,,0,,,,,,,
1351,she,,,,0,,,,,,,
1352,again,again,558.7,558.98,0,,,,,,,
1353,looks,looks,559.01,559.17,0,,,,,,,
1354,kind,kind,559.17,559.35,0,,,,,,,
1355,of,of,559.35,559.48,0,,,,,,,
1356,embarrassed,embarrassed,559.48,559.85,4,,,,,,,
1357,says,says,559.85,559.99,0,,,,,,,
1358,something,something,559.99,560.28,0,,,,,,,
1359,about,about,560.28,560.56,0,,,,,,,
1360,it,it,560.6,560.78,0,,,,,,,
1361,not,not,560.78,560.94,0,,,,,,,
1362,working,working,560.94,561.22,0,,,,,,,
1363,out,out,561.22,561.34,0,,,,,,,
1364,for,for,561.34,561.45,0,,,,,,,
1365,her,her,561.45,561.76,1,,,,,,,
1366,and,and,562.15,562.53,0,,,,,,,
1367,um,um,562.59,562.98,0,,1,,,,,
1368,excuse,,,,0,,,,,,,
1369,me,,,,1,,,,,,,
1370,um,um,564.54,564.7,0,,1,,,,,
1371,he,he,564.84,565.31,0,,,,,,,
1372,um,um,565.36,565.7,0,,1,,,,,
1373,starts,starts,565.78,565.92,2,,,,,,,
1374,says,,,,0,,,,,,,
1375,something,something,566.75,567.16,0,,,,,,,
1376,along,,,,0,,,,,,,
1377,the,the,567.42,567.44,0,,,,,,,
1378,lines,lines,567.44,567.78,0,,,,,,,
1379,of,of,567.78,567.8,0,,,,,,,
1380,oh,oh,568.559999,568.849999,0,,1,,,,,
1381,like,like,568.849999,569.089999,0,,1,,,,,
1382,it,it,569.099999,569.249999,0,,,,,,,
1383,was,was,569.25,569.42,0,,,,,,,
1384,an,an,569.42,569.5,0,,,,,,,
1385,improvement,improvement,569.5,570.03,0,,,,,,,
1386,or,or,570.03,570.08,0,,2,,,,,
1387,something,something,570.08,570.35,1,,2,,,,,
1388,your,your,570.349999,570.479999,0,,,,,,,
1389,lips,lips,570.48,570.69,0,,,,,,,
1390,look,look,570.69,570.84,0,,,,,,,
1391,small,small,570.86,571.15,0,,,,,,,
1392,now,now,571.15,571.46,1,,,,,,,
1393,and,and,572.559999,572.599999,0,,,,,,,
1394,then,then,572.599999,572.699999,0,,,,,,,
1395,she,she,572.7,572.91,0,,,,,,,
1396,leaves,,,,1,,,,,,,
1397,she's,,,,0,,,,,,,
1398,butthurt,<unk>,572.91,573.08,1,,,,,,,
1399,um,um,574.039999,574.449999,0,,1,,,,,
1400,while,while,574.639999,574.849999,0,,,,,,,
1401,this,this,574.85,574.98,0,,,,,,,
1402,is,,,,0,,,,,,,
1403,happening,happening,575.059999,575.599999,0,,,,,,,
1404,he,he,575.93,576.08,0,,,,,,,
1405,had,had,576.08,576.39,0,,,,,,,
1406,just,just,576.55,576.87,0,,,,,,,
1407,met,met,576.91,577.35,0,,,,,,,
1408,uh,uh,577.8,578.18,0,,1,,,,,
1409,watson,watson,578.19,578.8,1,,,,,,,
1410,so,so,578.86,579.3,0,,2,,,,,
1411,watson,watson,579.49,580.07,0,,,,,,,
1412,and,and,580.08,580.37,0,,,,,,,
1413,his,his,580.37,580.61,0,,,,,,,
1414,friend,friend,580.62,580.9,0,,,,,,,
1415,from,from,580.9,581.14,0,,,,,,,
1416,earlier,earlier,581.18,581.78,0,,,,,,,
1417,um,um,581.79,581.81,0,,1,,,,,
1418,approached,approached,582.76,583.14,0,,,,,,,
1419,sherlock,sherlock,584.01,584.43,0,,,,,,,
1420,in,in,584.45,584.57,0,,,,,,,
1421,his,his,584.57,584.75,0,,,,,,,
1422,lab,lab,584.75,585.1,1,,,,,,,
1423,and,and,585.13,585.51,0,,,,,,,
1424,uh,uh,585.52,585.91,0,,1,,,,,
1425,maybe,maybe,586.01,586.41,0,,,,,,,
1426,one,one,586.65,586.8,0,,,,,,,
1427,of,of,586.8,586.86,0,,,,,,,
1428,the,the,586.86,586.95,0,,,,,,,
1429,first,first,586.95,587.13,0,,,,,,,
1430,things,things,587.17,587.4,0,,,,,,,
1431,sherlock,sherlock,587.4,587.67,0,,,,,,,
1432,says,says,588.03,588.11,0,,,,,,,
1433,to,to,588.11,588.22,0,,,,,,,
1434,watson,watson,588.22,588.72,0,,,,,,,
1435,is,,,,0,,,,,,,
1436,um,um,589.36,589.83,0,,1,,,,,
1437,so,so,590.099999,590.279999,0,,2,,,,,
1438,what,what,590.28,590.45,0,,,,,,,
1439,was,was,590.45,590.66,0,,,,,,,
1440,it,it,590.66,590.84,0,,,,,,,
1441,iraq,iraq,590.9,591.29,0,,,,,,,
1442,or,or,591.29,591.35,0,,,,,,,
1443,afghanistan,afghanistan,591.349999,591.959999,1,,,,,,,
1444,so,so,591.96,592.1,0,,,,,,,
1445,he,he,592.1,592.19,0,,,,,,,
1446,immediately,immediately,592.190001,592.590001,0,,,,,,,
1447,knows,knows,592.59,592.85,0,,,,,,,
1448,that,that,592.85,593,0,,,,,,,
1449,watson,watson,593,593.41,0,,,,,,,
1450,was,was,593.41,593.68,0,,,,,,,
1451,an,an,594.02,594.33,0,,,,,,,
1452,army,army,594.35,594.74,0,,,,,,,
1453,doctor,doctor,594.789999,595.339999,1,,,,,,,
1454,he,he,595.699999,595.819999,0,,,,,,,
1455,makes,makes,595.829999,595.869999,0,,,,,,,
1456,some,some,595.869999,595.899999,0,,,,,,,
1457,mention,mention,595.899999,595.959999,0,,,,,,,
1458,of,of,595.959999,595.999999,0,,,,,,,
1459,that,that,596.33,596.49,0,,,,,,,
1460,later,later,596.49,596.73,0,,,,,,,
1461,also,also,596.73,597.01,0,,,,,,,
1462,saying,saying,597.01,597.28,0,,,,,,,
1463,like,like,597.28,597.43,0,,,,,,,
1464,i,i,597.79,597.91,0,,,quote onset,,,,
1465,know,know,597.91,598.03,0,,,,,,,
1466,you're,you're,598.03,598.15,0,,,,,,,
1467,an,an,598.15,598.21,0,,,,,,,
1468,army,army,598.21,598.44,0,,,,,,,
1469,doctor,doctor,598.44,598.6,1,,,quote offset,,,,
1470,um,um,598.87,599.2,0,,1,,,,,
1471,the,the,602.11,602.13,2,,,,,,,
1472,it's,it's,602.13,602.16,0,,,,,,,
1473,revealed,revealed,602.33,602.83,0,,,,,,,
1474,that,that,602.87,603.22,0,,,,,,,
1475,sherlock,sherlock,603.23,603.63,0,,,,,,,
1476,is,is,603.63,603.73,0,,,,,,,
1477,looking,looking,603.73,604,0,,,,,,,
1478,for,for,604.01,604.3,0,,,,,,,
1479,a,a,604.32,604.43,0,,,,,,,
1480,flat,flat,604.429999,604.729999,0,,,,,,,
1481,mate,mate,604.73,604.98,1,,,,,,,
1482,and,and,605.04,605.48,0,,,,,,,
1483,this,this,605.78,605.97,0,,,,,,,
1484,mutual,mutual,606.05,606.43,0,,,,,,,
1485,friend,friend,606.44,606.95,0,,,,,,,
1486,um,um,607.17,607.69,0,,1,,,,,
1487,is,is,607.74,607.93,0,,,,,,,
1488,now,now,607.94,608.19,0,,,,,,,
1489,going,going,608.47,608.51,0,,,,,,,
1490,to,to,608.51,608.58,0,,,,,,,
1491,introduce,introduce,608.58,608.98,0,,,,,,,
1492,watson,watson,609.02,609.6,0,,,,,,,
1493,to,,,,0,,,,,,,
1494,sherlock,sherlock,610.09,610.67,0,,,,,,,
1495,in,in,610.969999,611.179999,0,,,,,,,
1496,hopes,hopes,611.190001,611.490001,0,,,,,,,
1497,that,that,611.690001,612.110001,0,,,,,,,
1498,um,um,612.14,612.69,0,,1,,,,,
1499,sherlock,sherlock,612.7,613.29,0,,,,,,,
1500,and,and,613.32,613.52,2,,,,,,,
1501,or,or,613.78,614.05,0,,,,,,,
1502,watson,watson,614.06,614.42,0,,,,,,,
1503,will,will,614.42,614.53,0,,,,,,,
1504,be,be,614.53,614.66,0,,,,,,,
1505,a,a,614.66,614.76,0,,,,,,,
1506,suitable,suitable,614.79,615.38,0,,,,,,,
1507,roommate,roommate,615.62,616.11,0,,,,,,,
1508,for,for,616.49,616.86,0,,,,,,,
1509,watson,watson,616.86,617.07,1,,,,,,,
1510,so,so,617.82,618.2,0,,2,,,,,
1511,um,um,618.22,618.74,0,,1,,,,,
1512,that,that,619.95,620.29,0,,,,,,,
1513,happens,happens,620.29,620.79,1,,,,,,,
1514,uh,uh,621.04,621.4,0,,1,,,,,
1515,sherlock,sherlock,621.7,622.33,0,,,,,,,
1516,asks,asks,622.36,622.71,0,,,,,,,
1517,for,for,622.71,623.19,0,,,,,,,
1518,the,the,623.639999,624.029999,0,,,,,,,
1519,mutual,mutual,624.05,624.42,0,,,,,,,
1520,friend's,friend's,624.429999,624.689999,0,,,,,,,
1521,phone,phone,624.87,625.32,1,,,,,,,
1522,and,and,625.37,625.72,0,,,,,,,
1523,he,he,626.33,626.5,0,,,,,,,
1524,doesn't,doesn't,626.5,626.74,0,,,,,,,
1525,have,have,626.75,627.05,0,,,,,,,
1526,it,it,627.049999,627.239999,1,,,,,,,
1527,so,so,627.49,627.97,0,,,,,,,
1528,watson,watson,628.35,628.84,0,,,,,,,
1529,offers,offers,628.859999,629.179999,0,,,,,,,
1530,up,up,629.190001,629.330001,0,,,,,,,
1531,his,his,629.33,629.73,1,,,,,,,
1532,um,um,630.93,630.96,0,,1,,,,,
1533,sherlock,sherlock,631.92,632.59,0,,,,,,,
1534,appears,appears,632.72,633.05,0,,,,,,,
1535,to,to,633.08,633.14,0,,,,,,,
1536,send,send,633.14,633.41,0,,,,,,,
1537,a,a,633.41,633.55,0,,,,,,,
1538,text,text,633.57,633.9,0,,,,,,,
1539,or,or,633.97,634.11,0,,2,,,,,
1540,something,something,634.11,634.69,0,,2,,,,,
1541,through,through,634.95,635.13,0,,,,,,,
1542,his,his,635.13,635.32,0,,,,,,,
1543,phone,phone,635.33,635.75,1,,,,,,,
1544,um,um,635.76,635.79,0,,,,,,,
1545,and,and,636.72,636.88,0,,,,,,,
1546,then,then,636.88,637.17,0,,,,,,,
1547,before,before,637.98,638.88,0,,,,,,,
1548,uh,uh,639.12,639.76,0,,1,,,,,
1549,those,those,640.21,640.6,0,,,,,,,
1550,two,two,640.65,640.92,0,,,,,,,
1551,leave,leave,640.92,641.03,1,,,,,,,
1552,meaning,meaning,641.25,641.7,0,,,,,,,
1553,um,um,641.77,642.04,0,,1,,,,,
1554,watson,watson,642.06,642.53,0,,,,,,,
1555,and,and,642.55,642.87,0,,,,,,,
1556,his,his,642.87,643,0,,,,,,,
1557,friend,friend,643,643.36,1,,,,,,,
1558,sherlock,sherlock,643.82,644.55,0,,,,,,,
1559,says,says,645.29,645.75,1,,,,,,,
1560,meet,meet,645.799999,646.089999,0,,,start of quote,,,,
1561,me,me,646.09,646.36,0,,,,,,,
1562,at,at,646.359999,646.559999,0,,,,,,,
1563,the,the,646.739999,646.759999,0,,,,,,,
1564,address,address,646.779999,647.209999,0,,,,,,,
1565,two,two,647.689999,647.869999,0,,,,,,,
1566,two,two,647.889999,647.979999,0,,,,,,,
1567,one,one,647.979999,648.259999,0,,,,,,,
1567a,b,,,,0,,,,,,,
1568,baker,baker,648.259999,648.299999,0,,,,,,,
1569,street,street,648.299999,648.349999,1,,,end of quote,,,,
1570,i,i,648.349999,648.359999,0,,,,,,,
1571,think,think,650.61,650.89,1,,,,,,,
1572,um,um,651.24,651.79,0,,1,,,,,
1573,because,because,651.89,651.94,0,,,,,,,
1574,that's,that's,651.95,652.19,0,,,,,,,
1575,where,where,652.2,652.43,0,,,,,,,
1576,his,,,,0,,,,,,,
1577,flat,flat,652.62,652.9,0,,,,,,,
1578,is,is,652.9,653.01,0,,,,,,,
1579,going,going,653.25,653.29,0,,,,,,,
1580,to,to,653.29,653.31,0,,,,,,,
1581,be,be,653.31,653.51,1,,,,,,,
1582,and,and,653.62,653.83,0,,,,,,,
1583,then,then,653.83,654.09,0,,,,,,,
1584,um,um,654.11,654.48,0,,1,,,,,
1585,watson,watson,655.91,656.32,0,,,,,,,
1586,kind,kind,656.32,656.52,0,,,,,,,
1587,of,of,656.52,656.7,0,,,,,,,
1588,says,says,656.96,657.12,0,,,,,,,
1589,something,something,657.139999,657.399999,0,,,,,,,
1590,along,along,657.4,657.66,0,,,,,,,
1591,the,,,,0,,,,,,,
1592,lines,lines,657.69,657.93,0,,,,,,,
1593,of,of,657.929999,658.179999,1,,,,,,,
1594,but,,,,0,,,start of quote,,,,
1595,we,we,658.559999,658.809999,0,,,,,,,
1596,don't,don't,658.91,659.13,0,,,,,,,
1597,even,even,659.13,659.33,0,,,,,,,
1598,know,know,659.33,659.52,0,,,,,,,
1599,each,each,659.52,659.65,0,,,,,,,
1600,other,other,659.65,659.93,1,,,end of quote,,,,
1601,and,,,,0,,,,,,,
1602,then,,,,0,,,,,,,
1603,sherlock,sherlock,660.19,660.56,0,,,,,,,
1604,starts,starts,660.559999,660.859999,0,,,,,,,
1605,listing,listing,660.86,661.22,0,,,,,,,
1606,things,things,661.219999,661.429999,1,,,,,,,
1607,he,he,661.469999,661.539999,0,,,,,,,
1608,says,says,661.539999,661.849999,0,,,,,,,
1609,um,um,662.179999,662.379999,0,,1,,,,,
1610,that,that,662.469999,662.539999,0,,,,,,,
1611,watson,watson,662.71,663.23,0,,,,,,,
1612,was,was,663.23,663.46,0,,,,,,,
1613,an,an,663.46,663.68,0,,,,,,,
1614,army,army,664.01,664.28,0,,,,,,,
1615,doctor,doctor,664.279999,664.839999,0,,,,,,,
1616,in,in,664.85,665.04,0,,,,,,,
1617,afghanistan,afghanistan,665.039999,665.519999,1,,,,,,,
1618,and,and,665.52,665.63,0,,,,,,,
1619,that,that,665.719999,666.169999,0,,,,,,,
1620,um,um,667.289999,667.749999,0,,1,,,,,
1621,his,his,668.11,668.46,0,,,,,,,
1622,he's,he's,668.53,668.7,0,he*,,,,,,
1623,not,not,668.7,668.87,0,got*,,,,,,
1624,close,close,668.87,669.09,0,,,,,,,
1625,to,to,669.1,669.24,0,,,,,,,
1626,his,his,669.24,669.45,0,,,,,,,
1627,brother,brother,669.48,670.11,1,,,,,,,
1628,his,his,670.33,670.54,0,,,,,,,
1629,brother,brother,670.57,671.5,0,,,,,,,
1630,recently,recently,672.07,672.98,0,,,,,,,
1631,like,like,673.04,673.31,0,,1,,,,,
1632,walked,walked,673.31,673.58,0,,,,,,,
1633,out,out,673.58,673.66,0,,,,,,,
1634,of,of,673.66,673.81,0,,,,,,,
1635,a,a,673.81,673.9,0,,,,,,,
1636,marriage,marriage,673.92,674.29,0,,,,,,,
1637,or,or,674.29,674.34,0,,,,,,,
1638,something,something,674.34,674.78,1,,,,,,,
1639,or,or,674.78,674.95,0,,,,,,,
1640,is,is,674.95,675.06,0,,,,,,,
1641,an,an,675.059999,675.139999,0,,,,,,,
1642,alcoholic,alcoholic,675.139999,675.779999,1,,,,,,,
1643,or,or,675.78,675.86,0,,,,,,,
1644,both,both,675.9,676.28,1,,,,,,,
1645,and,and,676.679999,676.969999,0,,,,,,,
1646,um,um,677,677.36,0,,1,,,,,
1647,uh,uh,678.66,678.9,0,,1,,,,,
1648,watson,watson,678.9,679.2,0,,,,,,,
1649,looks,looks,679.2,679.34,0,,,,,,,
1650,very,very,679.34,679.9,0,,,,,,,
1651,confused,confused,679.96,680.26,0,,,,,,,
1652,or,or,680.66,681.01,0,,,,,,,
1653,shocked,shocked,681.059999,681.419999,1,,,,,,,
1654,i,i,681.42,681.48,0,,,,,,,
1655,guess,guess,681.48,681.72,0,,,,,,,
1656,at,at,681.719999,681.829999,0,,,,,,,
1657,this,this,681.969999,682.059999,2,,,,,,,
1658,and,and,682.709999,682.739999,0,,,,,,,
1659,then,then,682.749999,683.139999,0,,,,,,,
1660,um,um,683.179999,683.619999,0,,1,,,,,
1661,he,he,684.159999,684.709999,0,,,,,,,
1662,leaves,leaves,685.169999,685.209999,1,,,,,,,
1663,so,so,685.209999,685.699999,0,,2,,,,,
1664,um,um,685.699999,686.829999,0,,1,,,,,
1665,and,,,,0,,,,,,,
1666,then,,,,0,,,,,,,
1667,i,i,690,690.14,0,,,,,,,
1668,believe,believe,690.14,690.51,0,,,,,,,
1669,we,we,690.51,690.69,0,,,,,,,
1670,see,see,690.84,690.99,0,,,,,,,
1671,the,the,690.99,691.12,0,,,,,,,
1672,two,two,691.12,691.29,0,,,,,,,
1673,of,of,691.5,691.62,0,,,,,,,
1674,them,them,691.62,692,0,,,,,,,
1675,now,now,692.01,692.54,1,,,,,,,
1676,and,and,692.95,693.52,0,,,,,,,
1677,they,they,693.639999,694.269999,0,,,,,,,
1678,um,um,694.27,695.21,0,,1,,,,,
1679,get,get,695.58,695.78,2,,,,,,,
1680,or,or,695.84,695.98,0,,,,,,,
1681,they,,,,0,,,,,,,
1682,are,are,696.03,696.47,0,,,,,,,
1683,now,now,696.93,696.95,0,,,,,,,
1684,entering,entering,696.98,697.44,0,,,,,,,
1685,what,what,698.28,698.79,0,,,,,,,
1686,we,we,700.45,700.47,0,,,,,,,
1687,can,can,700.47,700.5,0,,,,,,,
1688,assume,,,,0,,,,,,,
1689,is,,,,0,,,,,,,
1690,sherlock's,<unk>,701,701.01,0,,,,,,,
1691,flat,flat,701.01,701.41,1,,,,,,,
1692,um,um,701.449999,701.689999,0,,1,,,,,
1693,there's,there's,701.889999,701.929999,0,,,,,,,
1694,another,another,701.93,702.34,0,,,,,,,
1695,lady,lady,702.34,702.89,1,,,,,,,
1696,the,the,703.15,703.29,0,,,,,,,
